SKU,Category,Subcategory, Innovation,Feb_1,Mar_1,Apr_1,May_1,Jun_1,Jul_1,Aug_1,Sep_1,Oct_1,Nov_1,Dec_1,Jan_2,Feb_2,Mar_2,Apr_2,May_2,Jun_2,Jul_2,Aug_2,Sep_2,Oct_2,Nov_2,Dec_2,Jan_3,Feb_3,Mar_3,Apr_3,May_3,Jun_3
13,BPC,HAIR CARE,0,23903,12968,23740,20112,4055,8716,36757,10860,12967,16416,13599,24373,19377,22161,19362,16844,23547,17269,16581,15953,21145,11020,20477,22566,13356,19156,15752,20071,18018
14,BPC,HAIR CARE,0,15770,6199,13475,5976,27162,9477,16714,5097,11444,10506,13166,9965,10123,14773,8119,8482,17413,8464,13758,12566,9637,9051,12764,8806,7487,11198,6351,12902,12031
15,BPC,HAIR CARE,0,24045,14429,22094,7826,33345,25023,14959,12541,14937,14611,15159,23662,21609,21877,20779,16804,21922,15178,21205,18407,16620,12605,14792,19076,14632,27840,13943,26383,20353
16,BPC,HAIR CARE,0,14535,18656,22796,22397,31366,8933,29040,20611,20631,21523,21156,21502,15347,20708,20061,19555,26440,18890,20288,20675,17810,16693,26700,21282,14094,27438,15722,26218,21500
17,BPC,Q-tips,0,34593,47475,45749,82187,101780,46432,34945,66415,56651,80332,87612,33475,66773,69142,74265,100224,80984,86201,46770,76871,58473,80765,74311,84509,52131,61523,39552,67479,71503
18,BPC,HAIR CARE,0,58010,55881,74316,77503,34439,93244,41259,70425,76036,38558,48547,74833,44496,76794,58605,79763,70689,58986,67722,71205,55964,60324,48911,40917,42371,65737,81046,82023,27250
19,BPC,HAIR CARE,0,121013,88686,169900,151375,136162,142249,113751,133827,103458,99903,108013,179165,109505,124507,125658,108951,157406,146779,120521,173558,71598,187186,96070,155840,117106,157236,141971,192893,70250
20,BPC,Q-tips,0,757120,745152,668397,637181,685524,476349,326136,713355,679956,782226,517207,675756,575958,688835,698119,617458,585357,574790,583121,803201,447769,598513,805086,673345,699978,951273,469081,643463,544082
21,BPC,Q-tips,0,619530,896079,717303,770460,667294,779960,1075383,1041273,666539,679484,844592,988316,708503,943343,722131,884375,857221,703389,1098017,587362,991091,1034971,1303270,874604,789332,994790,666413,929437,919339
22,BPC,Q-tips,0,101759,160833,144663,165906,161313,134150,209699,175818,120157,139378,131687,156758,128720,126695,115785,140530,185217,167677,152311,162545,126199,153963,128574,147166,174398,185277,108435,139586,191146
25,Refreshments,ICE CREAM,0,58944,87519,79591,191175,175808,200501,255007,50692,100354,78869,65105,22767,41250,91880,113982,136220,223705,152099,181854,45942,32794,62110,39477,34415,89190,80002,175910,161220,139593
26,Refreshments,ICE CREAM,0,33106,67189,90015,190020,171810,170961,227863,47651,37087,57910,57347,30488,48051,75811,79308,115736,221872,129808,183602,63446,23176,61036,32694,44751,52893,73797,172584,109165,215371
27,Refreshments,ICE CREAM,0,60921,81065,67907,171671,195429,212447,297537,22365,95722,94243,97439,65263,44695,77230,90913,94162,323111,134122,204836,77524,28904,66644,20464,29516,90559,103101,106365,133965,288853
28,BPC,DEOS,0,51358,45805,28312,29546,21749,58289,51496,44803,29299,48079,46076,22660,16870,17975,28110,23468,24828,22914,30356,27444,22166,29112,24204,9522,11074,11790,10773,22252,10
32,BPC,HAIR CARE,0,126116,99435,104074,99655,78986,91451,98793,81857,100224,99786,94035,87992,85637,82727,78519,70588,90394,90392,63521,78531,79822,101511,67284,76267,62431,84371,89955,117125,110964
33,BPC,HAIR CARE,0,59279,44362,53795,39171,38642,40429,41957,32220,36795,35711,37323,34078,26643,32980,71079,42013,41326,65418,39328,36202,38618,59130,34293,47030,46958,50460,48798,53493,55272
34,BPC,HAIR CARE,0,24871,25495,20408,20809,19500,22424,22695,19883,18882,25186,22261,24042,24845,18469,25031,15797,21995,13634,17472,21451,19650,19670,17270,29453,14360,35697,22979,25405,27296
35,BPC,HAIR CARE,0,95491,81286,85542,80650,66075,75055,74419,74506,74455,74268,78299,72017,65308,77515,57338,57548,77104,72413,58706,73164,67907,79859,61072,83093,55150,72880,74997,93507,91134
36,BPC,HAIR CARE,0,63572,52034,62053,43453,43838,43534,50544,43060,48128,50019,44877,51132,55635,45794,55282,35172,61959,53889,41344,42469,44068,67209,38035,51648,45933,47028,66562,63849,68672
37,BPC,HAIR CARE,0,37362,32850,28982,30940,29379,28796,36484,26021,29544,36573,33522,33470,33218,29085,33332,26351,35000,25859,25429,31333,28096,36305,29833,40956,25716,37662,39599,40601,54245
38,BPC,DEOS,0,23736,40050,48749,41349,60353,46839,42486,45742,55681,53271,53416,45427,17655,37075,33748,30491,59016,24272,22401,25334,36719,33860,32330,25861,19808,30561,33186,20868,33285
39,BPC,DEOS,0,118267,101652,95626,114079,152871,204137,118576,156940,90664,110834,129948,131591,67486,159712,106780,94739,181377,179774,117839,90762,102885,84795,73858,97914,108836,100107,121377,94513,83772
40,BPC,DEOS,0,124490,135593,101412,135058,160105,173123,185109,139523,121473,100113,146067,130216,87325,129416,93371,127526,112813,176445,151957,109434,93382,98321,116689,108149,120608,116605,144477,138160,116153
41,BPC,DEOS,0,26530,62286,41047,38474,57494,78106,61991,53339,45119,39957,31794,48080,26529,55228,43784,43710,58580,75339,44680,38988,38596,25508,38434,44803,35504,54164,50812,51786,44533
42,BPC,DEOS,0,81059,113793,90899,107195,118985,181954,98831,138275,125347,80065,90899,101294,86651,147456,107466,96112,102148,161940,107206,91886,89160,71946,87818,144315,90890,153927,100255,106803,85499
43,BPC,DEOS,0,44210,39875,34214,33083,55768,77293,53202,52252,31800,42301,39136,36402,23801,56316,36836,22429,47921,66678,40417,35039,33595,26754,37814,20904,18443,30894,25198,26954,25046
44,BPC,HAIR CARE,0,32555,56011,53955,54161,20547,61110,50838,48822,73477,47081,21459,50892,99607,64491,56150,76602,65712,73689,45136,74745,89686,52897,51374,43474,45927,46502,44455,50724,53984
45,BPC,HAIR CARE,0,27457,44838,47994,37260,1038,58663,40058,39277,49739,15489,38520,38523,91834,54140,43303,60763,48523,59605,53214,52822,60526,53096,40598,32652,36298,34501,36031,39829,36894
46,BPC,DEOS,0,17808,14831,19903,17587,22664,19015,15190,18348,16482,16707,25243,11005,11403,17414,15769,12871,23112,18756,17590,19552,22084,15768,8559,7978,14961,12120,11401,13983,20616
47,BPC,DEOS,0,71006,63099,77191,105464,95290,101882,103162,116177,91864,84203,93791,71678,44003,89250,76171,88168,108279,43065,145836,87938,82994,96484,88055,68929,66708,71155,70548,97699,83714
48,BPC,DEOS,0,39808,54440,23421,36053,43906,53855,46246,29272,52956,71412,34857,52685,38052,25107,37467,26347,40979,42150,68486,42735,25762,33955,56782,38052,9374,12301,19961,13592,25194
55,BPC,DEOS,0,47605,59724,101497,93319,95179,70905,123656,96861,83374,75625,120201,85449,82002,109524,58855,130133,90101,140805,104864,120375,85353,66355,95898,91886,88083,88602,120574,104720,105231
56,BPC,DEOS,0,53492,29671,50451,46389,94913,50103,49406,52209,77349,71151,71902,67626,35537,39737,47128,59254,60441,46219,63693,54395,63079,58084,50723,38007,41910,46059,52363,63361,64936
57,BPC,FACE,0,38675,22697,12354,33535,15851,24345,27032,28268,21523,21037,28756,8270,31526,24375,25669,22059,15280,26146,27866,30689,26366,10073,19508,9158,12573,17243,30772,40974,9739
58,HHC,HOUSEHOLD CARE,0,89323,96756,105583,106119,85977,89114,106066,117368,97951,100466,98896,70225,83734,136991,97863,61732,101055,99012,107388,65491,90596,93623,80856,91058,78604,200474,110943,62228,107543
59,HHC,HOUSEHOLD CARE,0,137446,177693,183895,251355,180208,142618,106325,117760,290691,168468,132172,168415,198750,150748,202473,147604,183923,205931,197805,277617,205860,169610,160529,178634,274571,251908,167725,202078,195059
60,Refreshments,ICE CREAM,0,158239,169087,189793,297810,165578,397549,412698,142077,148717,115310,144493,85358,141086,169930,153799,298334,199268,436318,240094,101312,129594,104730,95860,99097,131583,177214,425349,193508,246430
61,HHC,HOUSEHOLD CARE,0,11097,49908,10270,18361,19377,27880,10196,32049,12025,9827,5028,7174,16395,23981,19298,15943,34287,25825,11597,24236,50604,5313,10638,54619,29153,42193,3976,17184,51023
69,HHC,HOUSEHOLD CARE,0,211933,225394,157804,204656,311270,222347,250628,217621,234424,257498,162261,192877,203589,227683,230927,198140,235924,242295,280103,292469,321043,271068,183312,184917,218270,309373,225786,182207,232210
70,BPC,SKIN CLEANSING,0,10,10,10,10,1584,16700,36355,29444,22270,36355,45362,26916,31208,42244,69116,47123,32415,82882,59632,45635,50029,58885,52258,25869,29416,55777,41031,37995,47718
71,BPC,SKIN CLEANSING,0,10,10,10,10,1584,18295,38086,30294,14734,28893,32480,12572,14860,27891,44706,41304,11705,60325,47862,14353,36780,12954,17809,8859,1262,4928,5828,10785,8334
72,BPC,SKIN CLEANSING,0,10,10,10,10,3945,35396,79091,62513,51034,59946,64268,41249,64244,81710,56891,117521,64384,159730,157145,91539,116669,104701,78256,52595,72603,93396,72205,63441,74774
78,BPC,SKIN CLEANSING,0,79903,3879,16555,17257,28391,33398,51093,47678,23661,24294,44971,45866,17419,26061,46512,55155,30892,62130,34404,64218,59153,30029,67801,23485,47046,27273,78156,23851,47843
79,BPC,SKIN CLEANSING,0,58501,42755,91364,78625,113702,48695,47970,76723,62579,63226,41777,67746,58220,104848,64832,86514,117845,58253,43582,97739,66427,72074,29352,67898,59103,77801,89637,364716,39617
80,BPC,SKIN CLEANSING,0,104192,116869,95304,115084,121830,93388,110109,127918,110582,78847,90631,124922,99357,96975,113035,109353,131332,98603,102057,115892,96646,92274,64958,80909,69944,100420,138801,111300,100762
81,BPC,SKIN CLEANSING,0,88138,95507,74620,76251,92418,69993,99021,76504,81961,48412,35020,103548,58125,65815,86857,86393,95782,47842,58896,62279,78648,24744,46184,42634,63010,58154,65336,95264,71145
82,BPC,SKIN CLEANSING,0,102731,122507,88370,70016,88568,70468,93761,95004,81750,46279,53659,87219,72897,85187,102092,104464,106138,64716,72373,92894,83471,57842,25967,72023,53714,76050,122142,90211,66545
83,BPC,SKIN CLEANSING,0,91461,99940,64438,100393,95855,52560,118506,93825,73237,66755,53279,81105,63277,96164,69554,95311,111778,58484,58417,79592,79816,32888,64277,60191,45593,63167,43352,55132,59020
84,BPC,SKIN CLEANSING,0,24671,29052,93413,67528,90469,72549,67699,74242,72692,69091,97600,88429,67277,59937,42998,87628,75356,73973,81886,88841,95080,88981,61876,69140,93091,62093,84643,76499,126424
85,BPC,SKIN CLEANSING,0,44728,78564,125164,122479,157886,108284,122503,147866,138954,100998,164791,150336,119845,105791,133338,131950,144769,139939,149535,183589,175169,150093,112801,177019,179989,128746,168242,136904,198169
86,BPC,SKIN CLEANSING,0,83344,135074,171348,132809,176846,120806,159829,140956,212795,127687,177549,243945,64454,143404,137257,130262,171177,126924,149924,185901,176375,133721,102035,210552,199943,141311,183009,102662,220554
87,BPC,SKIN CLEANSING,0,35177,12582,22960,40231,47848,50227,64435,45143,41911,45308,53640,65922,32262,44979,58090,51015,42019,83840,57073,72194,71161,41904,58338,33479,45555,33348,82016,35582,43943
88,BPC,SKIN CLEANSING,0,52826,47689,45618,61086,60802,72008,56794,50228,53006,53109,95432,69483,29267,56838,70266,81707,51080,98158,53855,88614,87539,64382,92883,48510,77291,60056,98973,54440,70822
89,BPC,SKIN CLEANSING,0,6402,3207,12799,17596,17593,14761,11699,14479,15998,13063,19195,15996,14396,15994,15998,14396,15195,15997,15964,20025,12399,19592,17994,15997,16072,18705,18702,16627,27011
90,BPC,SKIN CLEANSING,0,20514,18181,22969,37310,41047,49344,34508,34195,24716,36622,29935,19283,14167,31876,23764,37490,43125,65789,24484,26269,47189,19211,26372,20799,75298,99893,70109,41934,54881
91,BPC,SKIN CLEANSING,0,216077,236556,179319,193310,196700,170303,211200,150681,191077,158026,163452,275351,167102,222730,188248,188477,241700,207231,194677,208499,223196,148947,163183,225968,199604,264505,297228,273257,214515
92,BPC,SKIN CLEANSING,0,240213,223191,181345,264181,173121,140347,177362,145276,191124,133441,159599,253295,172618,177998,210217,236609,229373,184810,194667,234277,234513,163836,139370,231181,210986,227903,299835,277635,227418
93,BPC,SKIN CLEANSING,0,103615,102090,102973,96264,90783,112476,92534,90361,84458,89144,52825,132437,59226,107015,120126,122428,139794,88072,81494,110969,118177,68585,50169,84656,73596,123068,130768,128759,98548
94,BPC,SKIN CLEANSING,0,187201,151545,154021,173503,190091,153312,165057,156664,146161,129244,113596,185714,137632,163760,138224,205233,195643,169317,176541,170501,165792,155660,130740,175680,128733,209787,217766,202869,198638
95,BPC,SKIN CLEANSING,0,134050,195513,136831,162226,164181,144609,136490,204759,144240,113201,135643,189204,140549,120244,159068,163287,188181,144511,137143,133133,151815,142545,94082,103587,95147,130407,178234,149563,100624
96,BPC,SKIN CLEANSING,0,149593,178720,138479,165812,201513,91018,123170,203523,163744,109687,115249,164474,148564,139897,145993,181931,169167,200842,153346,140392,176574,116490,122145,158124,131275,222011,179112,210534,177674
97,BPC,SKIN CLEANSING,0,192454,195674,142352,154444,197241,141323,167496,131644,182565,130055,131160,199637,140719,152282,169893,191892,190197,120236,169899,172564,223390,164523,116451,164489,152985,201264,227824,204468,185467
98,BPC,SKIN CLEANSING,0,118745,59817,73371,134646,121167,99187,127197,69412,92968,101575,75158,96447,64026,88099,75527,91943,85045,97085,156118,63662,68773,63509,62977,60121,57075,97695,82602,87940,71590
99,BPC,SKIN CLEANSING,0,220695,141140,150855,237156,242826,149515,202224,183481,198568,209509,151141,209469,156224,157800,186516,167234,216371,199147,289457,161739,200913,187375,158719,143179,192581,231519,197241,214645,184315
100,BPC,SKIN CLEANSING,0,78517,62626,73188,113783,96891,93350,118857,79788,108664,114882,67365,84628,81660,83329,77764,129407,119427,134822,146917,108507,104323,95839,51724,65997,110078,128668,101688,132146,105565
101,BPC,SKIN CLEANSING,0,41907,20912,17584,43278,37828,42038,40517,33352,31420,68421,32206,12121,58116,28274,24797,24182,43864,38940,49273,38429,43969,14840,12324,18295,40665,42593,38179,64987,23825
102,BPC,SKIN CLEANSING,0,128811,76357,97477,142956,174595,139943,159534,94603,144078,161653,81302,104992,85726,106089,124174,139993,171513,137500,208063,127807,150381,103316,80772,91628,115938,142910,153029,154794,119296
103,BPC,SKIN CLEANSING,0,23537,10,33994,70593,41837,23537,39223,41837,41837,36608,47065,33994,44451,26152,20923,47065,39222,70593,18309,23537,26152,23537,20923,15695,15695,10,18309,10466,16348
104,BPC,HAIR CARE,0,10,10,10,10,10,10,10,10,10,10,137,56032,29571,9330,18359,15870,19436,18107,19164,36368,23267,19181,15041,21374,22103,15306,37469,17978,32819
105,BPC,HAIR CARE,0,10,10,10,10,10,10,10,10,10,10,46,55832,21849,4770,6880,4989,8479,10951,8987,19005,12531,9453,8969,5717,9095,8006,19799,9331,15070
106,HHC,HOUSEHOLD CARE,0,89147,96795,69547,83832,130678,106161,63530,47551,7396,159251,43653,92099,90959,75257,84943,74409,69147,166321,165205,131011,244730,32201,84132,237127,94993,194346,148034,57405,128030
107,HHC,HOUSEHOLD CARE,0,39453,54678,36509,49550,65046,66452,28976,33765,45656,30519,11535,28286,56586,19310,35156,28936,22811,103103,50787,47790,98496,39492,6062,22994,34765,56914,25195,37176,25324
108,HHC,HOUSEHOLD CARE,0,72469,60010,71807,133573,59020,71225,51767,88524,46470,47168,69257,39786,73331,60907,37379,64086,28686,73341,76255,88011,121400,32531,58574,50207,73743,56862,66711,43596,72739
109,BPC,DEOS,0,10,10,10,10,10,10,10,10,10,10,10,139771,37563,33436,76124,86945,112439,80852,108685,82237,78432,81890,79126,54083,37523,91935,61728,87104,99549
110,HHC,SVG,0,542,1531,1641,522,121,342,430,120,1118,719,963,763,1405,896,498,1073,1273,763,829,1449,2247,2446,1692,940,1271,2224,2049,1361,6162
118,HHC,SVG,0,27749,40844,33044,26254,24847,5232,20838,24454,31939,32996,20420,27316,22218,29088,31671,19142,23969,16255,24854,17284,26132,45907,40729,32032,27047,62628,24915,27062,33782
119,BPC,HABL,0,10,10,10,10,10,10,10,10,10,601,58336,46588,51427,55543,66653,62018,68210,87417,73543,91389,51756,45344,53990,46120,49883,75000,59328,80371,71844
120,HHC,SVG,0,39545,53570,60501,37960,31268,22772,35801,48338,34093,41722,38510,49757,42782,40691,52197,29649,32066,36389,50687,39802,19196,66267,54084,50211,33329,110025,45423,46745,42815
121,HHC,SVG,0,16517,22022,17396,14595,8875,11380,16979,16417,25497,16566,27122,15035,28927,32096,32562,21867,26348,27974,24156,28320,23241,42921,29709,37661,20498,42226,35979,35624,33698
122,Refreshments,ICE CREAM,0,10,10,10,10,10,10,10,10,10,10,10,10,188031,194175,102361,119730,100340,103531,67494,64442,87165,52506,57335,62602,67344,70653,85542,126580,94476
123,HHC,SVG,0,26825,33082,25464,20599,18361,22373,15968,27945,22574,17740,32022,25499,24041,26078,34988,16679,25058,19603,24653,29219,26924,22523,31217,43787,12369,57298,41505,17787,29356
124,HHC,SVG,0,7998,13746,11401,10412,10416,7075,7412,13536,13613,5707,13601,11843,12913,10494,15615,9938,6127,14769,15750,8232,14175,11244,15812,15804,12058,18083,21509,9484,14502
125,BPC,SKIN CLEANSING,0,10,10,10,10,10,10,10,10,10,10,10,28429,74135,29198,57184,95302,67585,84093,87957,72132,64408,53357,68741,61738,29224,46639,23555,44544,37495
126,HHC,SVG,0,10,1651,767,1861,3208,1924,1862,1761,1926,2343,1052,2904,4255,2614,2778,3465,5151,4258,2843,4214,9851,6235,2966,3652,3006,5297,4900,5335,10768
127,HHC,SVG,0,1176,10,52,662,10,10,571,72,550,1195,259,1570,1300,10,280,946,551,280,1009,551,1653,862,863,675,676,1197,363,1051,1488
128,HHC,SVG,0,115,1356,10,2029,2534,2387,1509,1510,2948,2198,1093,1739,2363,2136,1759,2217,3406,2739,1928,5921,5485,2841,3239,5484,10976,8273,7879,8359,6692
129,HHC,SVG,0,1498,2435,3855,1799,732,1300,61,3383,12735,6040,3179,1033,2155,3689,1746,2564,1185,3024,3739,6549,3638,2769,7161,3585,981,8183,5527,7519,2717
130,HHC,SVG,0,21328,18680,14080,14716,17657,11104,14109,17336,25342,13244,27501,37142,26322,22034,25405,21314,19473,17532,28051,29229,21415,22793,29130,39390,19980,62422,34253,20745,22289
131,HHC,SVG,0,31568,36573,31761,12698,16787,14449,7859,36714,21694,6978,12522,18429,10000,18195,21622,16767,8402,20979,22985,6533,10747,17099,9594,14943,5072,15096,13196,8577,12888
132,HHC,SVG,0,1514,643,929,1569,734,621,1531,2837,989,1532,10,1140,1401,859,2206,1228,1445,1946,3165,1118,423,357,1836,618,879,2075,1707,1446,1576
135,HHC,SVG,1,5582,2523,4016,2996,3635,2027,4937,2532,9846,5460,4563,4358,6356,2879,7460,2705,4384,2330,7373,6821,6386,10760,5112,6852,2676,7666,4010,3575,4389
136,HHC,SVG,0,10356,14770,17724,9529,17257,4946,11229,13807,9752,10555,13273,16030,8336,17012,17361,14610,24515,18308,21680,21720,24793,12568,7931,40041,15711,10913,57177,41833,27086
137,HHC,SVG,0,42655,60630,56112,40642,37614,21542,32821,38180,44008,47913,26171,46987,36329,40037,38683,27832,32003,33877,34094,48270,33936,62265,60325,51656,39833,106869,51860,52868,50757
138,HHC,SVG,0,45294,69517,34860,50673,51827,49169,44252,53630,47737,32835,31018,42647,41888,36329,40939,53574,43730,65588,78267,28776,30397,42817,48854,42291,38516,50041,51417,65687,49241
139,HHC,SVG,0,3554,5446,6070,5042,3604,5176,8063,4371,7085,11041,5700,14386,10648,2901,12471,10201,12871,14470,11447,11711,16252,18562,11618,13312,8645,11669,16345,17436,9924
140,HHC,SVG,0,4979,7189,4673,1357,5805,4534,4100,4189,6367,13480,7079,12547,8681,10280,11394,9702,17258,5433,8504,9570,14551,9127,7564,9528,4547,6900,11571,10933,10722
141,HHC,SVG,0,6857,7144,6922,1897,6390,5266,9347,6100,9924,15614,4678,12592,9481,9257,10949,8857,17925,6235,7612,6593,18239,7437,9376,6950,6105,6770,11929,7428,14545
142,HHC,SVG,0,2429,4098,4008,2660,1941,1986,7529,945,4015,3035,4639,12743,5305,2365,5396,7442,7794,7752,7039,4817,10286,9620,7883,6017,4460,9845,7799,14297,8148
143,HHC,SVG,0,220,1651,1966,3060,2345,1146,2071,1861,3147,3782,739,2154,2945,2552,3737,2758,4903,4693,3696,3235,13892,4421,4447,7626,12931,10520,11685,12448,13413
144,HHC,SVG,0,922,2608,2537,2186,1273,2608,1398,1539,18217,6334,3972,20721,5013,3551,4387,3066,3764,7789,5848,7098,9319,15918,12725,9113,10434,9446,13555,9663,33279
151,BPC,SKIN CLEANSING,0,10,10,3244,21361,11009,14244,18773,25716,22135,29890,24185,46745,29028,67282,31427,36646,53933,37734,32392,31367,27944,31219,33886,54004,33046,77291,34553,39528,42700
152,BPC,HABL,0,10,5822,50504,47120,45309,60019,40825,38912,52393,94941,82691,74478,50795,61581,74927,61450,65861,74812,50610,66238,75137,78420,77077,51793,60060,75307,53599,71120,56339
153,Refreshments,ICE CREAM,0,10,10,10,10,10,10,10,10,10,10,10,10,41343,137412,58319,230066,91944,212673,100471,121798,34374,34826,22472,40070,11427,73184,145647,165489,131043
154,HHC,SVG,0,39813,53098,41281,56777,74215,35150,49706,59796,93457,76910,47580,88035,73336,30492,88629,64635,84582,90799,99319,59921,50160,73160,59279,45806,45640,67828,69974,59678,94627
155,HHC,SVG,0,10,10,10,768,438,10,776,384,971,1037,10,1069,2145,75,1477,1020,1265,2015,124,1004,2912,1884,1118,1542,433,2259,4672,3792,2912
156,HHC,SVG,0,5696,19226,11370,12182,10806,12289,22392,9633,19864,14857,7706,24037,22994,8877,23907,18965,35548,38587,37637,17069,29315,42450,24011,33835,23268,51514,48465,20566,21663
157,HHC,SVG,0,22430,54610,35418,37040,37499,43840,70210,56166,52383,46241,35901,59843,47481,40807,79896,42942,69559,75433,70954,24110,50868,42125,55373,49084,22042,79816,56095,33033,26573
163,BPC,SKIN CLEANSING,0,12424,9758,32204,80963,92396,106076,129558,120634,94017,106131,99838,86262,54097,61944,89161,99746,108898,114429,130239,113629,98060,106757,83266,90886,66699,86179,58762,107556,80130
164,BPC,SKIN CLEANSING,0,16562,4657,38428,114110,100012,106345,139023,138013,113480,127113,120591,101425,72644,77887,88170,113590,111787,153709,162639,131749,134806,156273,126918,108680,106093,104417,82886,127318,119251
165,BPC,SKIN CLEANSING,0,14493,7337,42787,131833,102213,135961,146106,144277,143234,129618,145350,126969,72827,87137,87276,115962,108057,129578,163354,135273,144824,114491,135848,90475,103856,99955,107769,112873,130270
166,BPC,SKIN CLEANSING,0,6217,5721,25944,47317,40951,33486,42242,49174,44314,43652,38892,34035,30547,20496,27695,48878,32895,38236,49608,37729,48337,39800,44850,31430,12140,27503,12306,19757,22447
167,BPC,SKIN CLEANSING,0,9321,9959,38123,91339,86709,83494,107049,95231,97517,113738,116947,85964,50842,69960,72973,113089,124711,116430,125925,103446,124450,95324,88967,58307,73502,57536,54162,61401,80099
168,BPC,SKIN CLEANSING,0,9694,16814,39603,58892,61262,61465,119654,78368,96810,77689,98197,68489,59218,52115,89828,83437,100522,80135,125648,71487,140515,41738,165293,57769,63221,76154,49236,81959,90117
169,BPC,SKIN CLEANSING,0,15528,11605,23999,60477,66752,63318,74244,80730,59797,54212,47808,25884,33216,33706,35555,41611,43745,57672,64044,48858,65265,55583,41662,30876,39963,36037,29039,42279,47837
170,BPC,SKIN CLEANSING,0,7251,15945,25617,74989,81214,101532,119822,88591,99995,93456,95859,81577,77264,74409,99215,106414,116277,133021,150717,98252,119905,103931,69230,63231,73274,103500,72441,101258,101826
171,BPC,SKIN CLEANSING,0,6217,12313,30673,68950,63786,65122,66809,63236,63221,81180,78705,61169,40786,31601,60243,71583,73370,82473,108308,8990,117339,63692,60741,36854,48659,42889,36665,38565,49896
172,BPC,SKIN CLEANSING,0,13221,16522,35633,41260,62445,68329,67608,51142,70177,63482,65983,33232,22304,21462,15604,24952,39069,34296,44003,41443,36325,52658,25532,20343,12091,25106,20791,7662,13366
173,BPC,HAIR CARE,0,2502,2536,4619,2409,4904,5504,5914,104,10,10,2819,8379,2408,1684,2442,4841,2914,2915,4936,2978,4051,4273,2662,3294,3830,5629,1684,13230,10
185,Refreshments,ICE CREAM,0,67000,93888,81100,84173,166500,126327,109417,107132,98288,63331,57999,36968,54854,86840,51795,96631,105919,136979,126858,54668,74822,68793,43558,52361,48115,61334,76974,98238,115742
186,Refreshments,ICE CREAM,0,80320,102389,113351,131445,162538,157008,118706,57794,83491,76927,55492,27067,82359,102693,58902,98459,150487,153113,160431,63827,73336,66200,45797,34575,54920,55485,44270,88033,79024
187,Refreshments,ICE CREAM,0,126124,166694,158070,261867,295461,302980,278414,154846,180249,129566,121404,74353,138229,167813,137815,234680,282662,317682,353906,162782,153206,139745,98675,104831,120444,150975,174266,304540,302145
